Source,Target,Type,Id,Label,timeset,Weight,app,ht,lang,join_date
323,5,Directed,959,,,4,Twitter for Android,extraterrestre,es,2015-03-12
324,13,Directed,960,,,4,Twitter for Android,None,es,2012-03-20
326,21,Directed,961,,,2,Twitter for Android,None,es,2019-08-10
327,55,Directed,962,,,3,Twitter Web App,ovnis,es,2009-09-08
327,316,Directed,963,,,1,Twitter Web App,AsíSomosLaRed,es,2009-09-08
328,138,Directed,964,,,1,Twitter for Android,None,es,2012-06-10
328,336,Directed,965,,,2,Twitter for Android,OVNI,es,2012-06-10
328,714,Directed,966,,,1,Twitter for Android,None,und,2012-06-10
329,329,Directed,967,,,1,Twitter Web App,Ufo,es,2016-09-14
330,330,Directed,968,,,2,Twitter Web App,UFO,it,2015-05-05
331,27,Directed,969,,,1,Twitter for iPhone,DeFacto,pt,2019-09-02
334,26,Directed,970,,,1,Tweetbot for Mac,ANcentral,es,2016-08-13
334,101,Directed,971,,,1,Tweetbot for Mac,ufotwitter,en,2016-08-13
334,305,Directed,972,,,1,Tweetbot for Mac,Marte,es,2016-08-13
334,4828,Directed,973,,,1,Tweetbot for Mac,FelizViernesATodos,es,2016-08-13
338,122,Directed,974,,,1,Twitter for Android,None,es,2009-08-18
340,340,Directed,975,,,1,Twitter for iPhone,None,es,2013-03-05
342,7,Directed,976,,,1,Twitter Web App,None,es,2016-07-04
342,47,Directed,977,,,1,Twitter Web App,ufotwitter,es,2016-07-04
342,51,Directed,978,,,1,Twitter Web App,None,es,2016-07-04
342,97,Directed,979,,,1,Twitter Web App,None,es,2016-07-04
343,228,Directed,980,,,1,Twitter for Android,INAO,es,2011-08-28
343,845,Directed,981,,,2,Twitter for Android,None,es,2011-08-28
344,6,Directed,982,,,1,Publiadmedia Social Bot,Algo,es,2016-09-17
344,7,Directed,983,,,1,Publiadmedia Social Bot,None,es,2016-09-17
344,10,Directed,984,,,1,Publiadmedia Social Bot,None,es,2016-09-17
344,51,Directed,985,,,1,Publiadmedia Social Bot,None,es,2016-09-17
347,24,Directed,986,,,2,Twitter for Android,rosavientos,es,2018-08-11
347,80,Directed,987,,,1,Twitter for Android,None,es,2018-08-11
349,2,Directed,988,,,4,Twitter for Android,None,es,2017-05-07
351,351,Directed,989,,,2,Twitter for Android,mitosfortnite,es,2021-06-15
354,1057,Directed,990,,,2,Twitter Web App,None,pt,2020-10-23
354,3322,Directed,991,,,1,Twitter Web App,None,pt,2020-10-23
354,4258,Directed,992,,,1,Twitter Web App,desenho,pt,2020-10-23
359,4,Directed,993,,,1,Twitter for Android,None,es,2020-08-31
360,360,Directed,994,,,1,Twitter for Android,None,es,2009-07-03
362,605,Directed,995,,,1,Twitter for iPhone,Ovni,es,2012-03-14
362,1660,Directed,996,,,1,Twitter for iPhone,None,es,2012-03-14
363,23,Directed,997,,,1,Twitter for Android,None,es,2016-02-19
363,47,Directed,998,,,1,Twitter for Android,ufotwitter,es,2016-02-19
363,51,Directed,999,,,1,Twitter for Android,None,es,2016-02-19
363,63,Directed,1000,,,1,Twitter for Android,None,es,2016-02-19
365,38,Directed,1001,,,3,Twitter for Android,ovni,es,2020-04-28
365,5016,Directed,1002,,,1,Twitter for Android,Ovnis,es,2020-04-28
367,14,Directed,1003,,,1,Twitter for Android,None,es,2009-09-01
367,90,Directed,1004,,,2,Twitter for Android,HistoryNoticias,es,2009-09-01
367,122,Directed,1005,,,1,Twitter for Android,None,es,2009-09-01
370,214,Directed,1006,,,1,Twitter for iPhone,TwitterEnY,fr,2017-05-09
370,368,Directed,1007,,,1,Twitter for iPhone,TwitterEnY,fr,2017-05-09
370,444,Directed,1008,,,1,Twitter for iPhone,None,fr,2017-05-09
376,7,Directed,1009,,,1,Twitter for Android,None,es,2011-03-18
377,2,Directed,1010,,,2,Twitter for Android,None,es,2021-04-11
377,28,Directed,1011,,,2,Twitter for Android,None,es,2021-04-11
379,2,Directed,1012,,,4,Twitter Web App,None,es,2012-09-29
381,17,Directed,1013,,,1,Twitter Web App,None,fr,2017-06-27
381,88,Directed,1014,,,2,Twitter Web App,None,fr,2017-06-27
381,322,Directed,1015,,,1,Twitter Web App,None,fr,2017-06-27
382,7,Directed,1016,,,1,Twitter Web App,OVNI,es,2020-10-18
382,108,Directed,1017,,,1,Twitter Web App,None,es,2020-10-18
382,171,Directed,1018,,,1,Twitter Web App,estoyleyento,es,2020-10-18
382,430,Directed,1019,,,1,Twitter Web App,ovni,es,2020-10-18
386,14,Directed,1020,,,1,Twitter Web App,None,es,2010-03-03
386,15,Directed,1021,,,1,Twitter for iPhone,OVNI,und,2010-03-03
386,23,Directed,1022,,,1,Twitter for iPhone,None,es,2010-03-03
386,30,Directed,1023,,,1,Twitter Web App,OVNI,es,2010-03-03
389,2,Directed,1024,,,1,Twitter Web App,None,es,2019-08-02
389,16,Directed,1025,,,1,Twitter Web App,ufo,es,2019-08-02
389,124,Directed,1026,,,1,Twitter Web App,None,es,2019-08-02
389,604,Directed,1027,,,1,Twitter Web App,EUA,es,2019-08-02
393,296,Directed,1028,,,4,Twitter Web App,None,und,2013-01-12
395,49,Directed,1029,,,1,Twitter Web App,Pentagone,fr,2020-11-29
395,82,Directed,1030,,,3,Twitter Web App,ovni,fr,2020-11-29
398,0,Directed,1031,,,2,Twitter for Android,None,pt,2009-10-27
398,398,Directed,1032,,,1,Twitter for Android,None,pt,2009-10-27
401,27,Directed,1033,,,1,Twitter for iPhone,DeFacto,pt,2015-02-15
401,176,Directed,1034,,,1,Twitter for iPhone,DeFacto,pt,2015-02-15
401,213,Directed,1035,,,1,Twitter for iPhone,DeFacto,pt,2015-02-15
401,331,Directed,1036,,,1,Twitter for iPhone,DeFacto,pt,2015-02-15
402,4,Directed,1037,,,1,Twitter Web App,None,es,2010-04-13
402,137,Directed,1038,,,1,Twitter Web App,None,es,2010-04-13
402,2173,Directed,1039,,,1,Twitter Web App,Ovni,es,2010-04-13
402,3694,Directed,1040,,,1,Twitter Web App,None,es,2010-04-13
405,405,Directed,1041,,,1,Twitter Web App,None,fr,2010-11-16
408,13,Directed,1042,,,4,Twitter for iPhone,None,es,2011-03-11
409,205,Directed,1043,,,1,Twitter Web App,None,es,2010-03-12
409,409,Directed,1044,,,1,Twitter Web App,None,es,2010-03-12
411,38,Directed,1045,,,3,Twitter Web App,ovni,es,2017-10-17
411,50,Directed,1046,,,1,Twitter Web App,None,es,2017-10-17
413,6,Directed,1047,,,1,Twitter Web App,Algo,es,2011-10-24
