Source,Target,Type,Id,Label,timeset,Weight,app,ht,lang,join_date
2024,11,Directed,2384,,,1,Twitter for iPhone,None,es,2010-05-01
2025,1,Directed,2385,,,1,Twitter for iPhone,None,es,2020-01-03
2026,11,Directed,2386,,,1,Twitter for Android,None,es,2012-07-07
2027,2241,Directed,2387,,,1,Twitter for Android,None,es,2019-09-24
2028,0,Directed,2388,,,1,Twitter for Android,None,es,2014-02-09
2029,32,Directed,2389,,,1,Twitter for Android,None,es,2016-01-13
2030,1,Directed,2390,,,1,Twitter Web App,None,es,2010-04-19
2031,5,Directed,2391,,,1,Twitter for iPhone,None,es,2011-08-31
2032,10,Directed,2392,,,1,Twitter for Android,None,es,2017-09-11
2033,15,Directed,2393,,,1,Twitter for iPhone,None,es,2012-11-28
2034,5,Directed,2394,,,1,Twitter for Android,None,es,2010-10-13
2036,3,Directed,2395,,,1,Twitter for Android,None,es,2018-07-17
2037,63,Directed,2396,,,1,Twitter for iPad,ENBlau,ca,2011-10-15
2038,183,Directed,2397,,,1,Twitter for Android,None,es,2015-05-20
2039,3,Directed,2398,,,1,Twitter for Android,None,es,2009-06-28
2040,6,Directed,2399,,,1,Twitter Web App,None,es,2009-11-27
2041,6,Directed,2400,,,1,Twitter for iPhone,None,es,2011-02-02
2042,0,Directed,2401,,,1,Twitter for Android,None,es,2013-04-28
2043,18,Directed,2402,,,1,Twitter for Android,None,es,2009-04-20
2045,0,Directed,2403,,,1,Twitter for Android,None,es,2012-07-02
2046,6,Directed,2404,,,1,Twitter for iPhone,None,es,2012-12-01
2047,0,Directed,2405,,,1,Twitter for Android,None,es,2011-04-13
2049,21,Directed,2406,,,1,Twitter for Android,None,es,2009-07-04
2050,23,Directed,2407,,,1,Twitter for Android,None,es,2018-03-16
2051,17,Directed,2408,,,1,Twitter for iPhone,None,es,2012-01-31
2052,59,Directed,2409,,,1,Twitter Web App,None,es,2021-03-11
2053,30,Directed,2410,,,1,Twitter Web App,None,es,2012-06-21
2054,2,Directed,2411,,,1,Twitter for Android,None,es,2018-01-29
2055,4,Directed,2412,,,1,Twitter Web App,None,es,2013-04-07
2056,1,Directed,2413,,,1,Twitter for Android,None,es,2021-03-27
2057,37,Directed,2414,,,1,Twitter for Android,None,es,2015-07-07
2058,6,Directed,2415,,,1,Twitter for Android,None,es,2010-11-15
